id,code,name,difficulty_rating,total_submissions,successful_submissions,distinct_successful_submissions,partially_successful_submissions,intended_contest_id,actual_intended_contests,contest_code
36708,SPEEDTEST,Speed Limit Test,718,89134,37986,34301,0,18951,"19205,19206,19207,19208",SEP221
36802,CHEFPAGES,Important Pages on CodeChef,719,58544,25500,23004,11226,14273,"14274,14275,14276,14277",COOK140
39792,EXPENSES,Expense List,719,30672,26314,23978,0,21431,"21435,21436,21437,21438",START68
18420,DECINC,Decrement OR Increment,722,118917,92241,81985,0,-1,[-1],
37607,AORB,A or B,728,33376,24759,23046,0,16181,"16809,16810,16811,16812",START39
32578,PASSORFAIL,Pass or Fail,730,95730,68488,61103,0,12553,"12584,12585,12586",START16
10899,FLOW017,Second Largest,730,181857,106838,95003,0,-1,[-1],
31413,CYCLICQD,Cyclic Quadrilateral,735,47709,40243,36969,0,11061,"12087,12088,12089",START5
35459,POLYBAGS,Too many items,738,35812,30605,28565,0,13740,"13741,13742,13743,13865",START27
37860,ACS,Count the ACs,739,43874,24703,22980,0,16191,"17382,17383,17384,17385",JUNE222
39006,BUILDINGRACE,Building Race,739,78524,32680,29540,0,19312,"20076,20077,20078,20079",OCT221
35916,CHEFRACES,Chef and Races,745,44415,30565,28362,0,14020,"14021,14022,14023,14024",MARCH222
31848,BLACKCEL,Black cells in a chessboard,746,45907,37669,34406,0,11065,"12297,12298,12299",START9
18419,DIFFSUM,Sum OR Difference,749,122265,88135,76949,0,-1,[-1],
40336,FARFROMO,Far from origin,750,33014,17225,16009,0,21631,"21632,21633,21634,21635",JAN231
10894,FLOW013,Valid Triangles,750,199181,117584,104599,0,-1,[-1],
37364,PRESENTS,Presents for Cheffina,757,46711,23317,21626,0,14530,"14531,14532,14533,14534",START36
10900,FLOW018,Small Factorial,760,144568,93615,82982,0,-1,[-1],
39477,DISTINCTCOL,Distinct Colors,760,31659,26623,24023,0,20346,"20693,20694,20695,20696",START64
30312,T20MCH,Possible Victory,769,56637,40360,36316,0,11058,"11466,11467,11468",START2
